Neighborhood,Geog Key,Marriage Rate,2010 Population,Land Area (Acres),"Chlamydia Rate per 100,000",Percent_without_insurance,Male: 15 to 19 years,Male: 20 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: 15 to 19 years,Female: 20 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Percent_Poverty
Austin,25,0.24,98514,2046.163795,1953,19.2,4204,3401,2937,2860,2755,2665,3099,3195,2668,985,1202,745,902,1131,747,431,230,4428,3901,3661,3438,3262,3307,3690,4013,3578,1306,1626,887,1200,1760,1199,762,639,30.6
West Garfield Park,26,0.16,18001,457.2246308,2933.2,19.9,987,680,507,471,450,457,554,567,483,147,158,92,106,181,151,89,50,922,729,639,560,636,585,691,702,498,177,207,116,183,285,229,197,122,47.4
East Garfield Park,27,0.17,20567,1406.90761,2572.1,17.1,1015,718,684,711,593,556,653,614,497,178,208,90,143,166,119,90,57,1004,779,860,855,764,684,739,751,600,209,254,133,158,247,233,176,164,47.9
Near West Side,28,0.29,54881,2706.399862,1162.5,7.8,1672,3223,4568,4089,2602,1638,1329,1220,970,371,477,268,362,398,248,155,103,1739,3826,4737,3997,2224,1596,1286,1276,1062,382,526,295,356,459,379,307,295,25.1
North Lawndale,29,0.17,35912,1113.23469,3210.6,17.2,1802,1374,1111,971,924,928,975,978,861,263,302,166,194,288,223,200,132,1804,1491,1421,1347,1299,1176,1247,1275,1006,332,384,245,306,467,379,311,288,47.4
South Lawndale,30,0.34,79288,2269.356472,895.5,32,3926,5110,4818,4409,3701,3322,2820,2414,1653,532,637,335,423,452,343,236,136,2914,2811,2937,2899,2535,2138,1837,1620,1319,451,589,315,379,501,402,249,226,36.5
Lower West Side,31,0.33,35769,3350.912518,872.3,28.5,1426,1829,2235,1830,1562,1286,1059,944,812,277,330,199,216,285,203,140,108,1212,1650,1894,1571,1262,1082,887,852,693,246,301,172,224,302,250,184,166,28.6
The Loop,32,0.35,29283,748.4402995,631.8,4.9,1123,2123,2812,1917,1137,861,745,691,676,269,375,216,258,270,183,96,64,1664,2559,2601,1549,910,725,662,682,758,302,420,204,266,293,217,164,134,15.0
Near South Side,33,0.38,21390,2306.723522,561,4.3,206,578,1515,1689,1171,802,665,575,521,187,253,149,156,213,114,78,50,216,666,1741,1772,1171,755,646,609,642,211,312,182,229,257,206,160,175,10.3
Armour Square,34,0.48,13391,1032.261867,612.4,25.3,418,661,511,370,380,412,455,499,401,170,167,128,153,252,213,180,113,378,544,459,384,462,469,514,510,459,184,226,117,196,332,305,296,194,36.8
Douglas,35,0.19,18238,2057.194253,1354.3,12.3,738,1342,892,568,455,404,452,488,447,189,232,155,222,262,191,134,118,575,1116,958,671,582,518,544,672,685,256,329,179,233,360,312,304,353,39.5
Oakland,36,0.37,5918,1489.168086,1960.1,12.9,240,131,148,150,156,157,157,147,103,42,59,32,52,48,30,16,16,254,213,257,316,319,272,224,222,179,56,89,49,52,64,72,40,43,33.3
Fuller Park,37,0.2,2876,666.5200613,1460.4,19,128,85,75,78,75,73,90,98,78,25,57,36,48,69,36,27,12,129,99,82,94,86,75,94,104,93,32,59,39,59,64,44,37,38,33.4
Grand Boulevard,38,0.2,21929,1994.179416,1773.9,15.7,837,569,603,615,718,646,590,583,448,186,294,136,236,260,199,148,92,876,687,892,1031,1101,844,828,817,762,246,345,187,306,419,322,290,312,35.5
Kenwood,39,0.27,17841,2024.464343,1126.6,9.6,450,627,709,540,498,454,499,454,441,161,284,139,176,259,184,133,121,462,761,967,763,685,623,676,692,715,284,404,200,272,420,299,259,285,22.3
Washington Park,40,0.14,11717,1638.024062,2859.1,13,547,379,320,325,297,270,315,290,251,85,77,56,50,66,51,37,29,664,475,559,549,461,461,459,424,306,101,99,63,80,119,94,75,65,48.8
Hyde Park,41,0.31,25681,2297.005663,467.3,9.3,894,2102,1679,1103,755,595,662,638,628,270,306,194,251,274,264,188,147,886,2216,1636,1165,778,705,718,750,745,300,376,229,318,421,345,249,346,21.6
Woodlawn,42,0.18,25983,1872.14701,1816.6,13,1252,935,667,690,637,603,641,682,564,208,253,144,149,245,135,98,92,1286,1020,930,1022,908,840,834,815,764,250,334,198,269,361,262,233,259,40.1
South Shore,43,0.19,49767,905.2295597,1724,17.3,1789,1465,1540,1454,1373,1516,1607,1783,1493,503,702,391,486,649,428,308,240,1948,2006,2231,1959,1886,1898,2145,2337,2056,746,869,537,726,932,788,576,662,36.6
Chatham,44,0.2,31028,633.066887,1646.9,16.9,1143,846,773,770,794,793,997,1136,919,365,372,244,271,432,344,281,233,1157,988,1005,918,1031,1071,1281,1546,1430,494,550,332,492,720,619,595,631,27.7
Avalon Park,45,0.27,10185,2109.213554,1246.9,16.1,362,253,224,234,257,272,351,369,303,95,109,84,114,201,153,100,62,394,280,287,281,319,369,439,456,432,171,219,143,205,333,235,179,160,21.1
South Chicago,46,0.28,31198,1735.176548,1496.9,16,1331,1037,920,790,850,892,867,910,805,255,352,204,291,449,296,200,140,1388,1170,1167,1025,1073,995,1061,1121,1068,392,487,301,424,623,508,287,288,33.2
Burnside,47,0.26,2916,1754.479942,1303.2,13.3,127,91,63,73,80,74,80,87,69,26,39,28,24,43,30,18,15,133,74,93,88,115,76,92,116,94,51,41,45,61,102,61,34,52,35.7
Calumet Heights,48,0.34,13812,1140.882985,1281.5,10.9,470,329,299,284,384,403,458,443,390,162,194,116,233,352,249,167,101,452,333,327,364,430,451,557,567,547,225,338,236,378,546,387,251,193,12.4
Roseland,49,0.26,44619,3638.486377,1571.1,14.4,1903,1396,1049,1045,1091,1167,1416,1544,1166,412,559,313,459,693,619,330,261,2100,1620,1245,1238,1505,1485,1608,1841,1493,624,811,502,848,1218,860,644,618,26.9
Pullman,50,0.21,7325,3090.839378,1187.7,16.9,292,222,220,209,194,214,196,188,195,65,83,50,84,102,95,61,21,275,236,233,247,288,289,292,279,278,109,154,72,116,185,129,80,61,24.0
South Deering,51,0.35,15109,1309.783474,1045.7,18.3,642,491,388,385,430,414,424,458,422,129,171,110,162,194,160,114,76,633,472,467,501,516,498,530,593,510,180,265,181,245,321,247,170,139,27.5
East Side,52,0.44,23042,2054.348526,455.7,17.4,998,848,824,812,811,777,691,719,599,184,241,126,165,230,193,137,100,921,757,799,793,766,670,746,733,613,226,254,123,174,315,298,238,220,21.7
West Pullman,53,0.27,29651,1613.606662,1608.7,15.6,1417,961,763,772,758,767,902,829,709,278,418,262,354,453,287,167,102,1446,1051,865,944,1021,1010,1021,1107,1035,420,563,362,525,614,411,259,161,32.0
Riverdale,54,0.25,6482,2799.795813,2962,13.5,394,180,139,140,113,107,108,113,73,22,38,15,21,38,27,11,13,360,301,261,345,250,248,229,188,157,52,69,29,51,53,64,38,28,64.5
Hegewisch,55,0.41,9426,8536.170971,403.1,12.1,349,310,290,280,303,315,309,407,265,108,153,67,115,133,113,77,64,296,256,284,313,305,304,312,321,293,103,156,74,131,198,150,148,152,17.7
Garfield Ridge,56,0.51,34513,372.036837,420.1,10.9,1133,1061,1171,1132,1203,1176,1210,1252,1130,356,503,234,355,454,383,368,296,1065,1059,1084,1156,1164,1138,1216,1259,1119,370,522,290,433,667,585,579,618,7.6
Archer Heights,57,0.45,13393,2529.754309,664.5,25.1,550,545,581,583,576,455,381,361,298,112,142,68,82,103,80,75,51,552,492,520,592,492,396,336,366,311,111,146,69,100,161,123,125,151,16.3
Brighton Park,58,0.45,45368,1354.48933,714.2,29.3,2036,1993,2063,1878,1780,1628,1374,1182,962,318,347,185,228,278,205,138,115,1864,1702,1810,1792,1708,1413,1230,1106,923,309,349,184,238,317,284,230,208,27.7
McKinley Park,59,0.46,15612,2258.712054,621.3,21.5,580,594,737,648,587,538,506,475,472,147,176,80,109,146,89,69,59,559,589,694,638,559,496,541,486,421,156,175,83,121,160,124,111,113,26.8
Bridgeport,60,0.44,31977,1175.921114,372.1,19.5,988,1535,1585,1279,1171,1140,1100,1143,1066,379,401,185,243,363,237,205,116,944,1352,1445,1197,1117,1162,1136,1142,1040,376,430,208,324,404,355,302,284,21.0
New City,61,0.35,44377,3083.418424,1304.7,25.5,2117,1726,1721,1736,1643,1407,1303,1303,991,304,411,187,220,324,224,147,83,2072,1685,1718,1708,1584,1398,1255,1181,907,316,371,195,305,432,328,228,177,33.8
West Elsdon,62,0.47,18109,2140.676044,546.7,18.9,742,684,763,730,756,640,502,476,411,133,209,84,105,119,89,96,93,697,686,731,720,716,549,530,510,432,139,200,113,124,191,141,169,180,18.9
Gage Park,63,0.45,39894,6974.220837,827.2,29.1,1850,1746,1749,1671,1649,1391,1143,958,766,239,307,170,197,228,160,84,83,1857,1557,1487,1608,1466,1349,1039,894,715,228,344,147,192,270,171,113,163,22.8
Clearing,64,0.46,23139,2938.436588,510,12.7,741,706,886,909,866,841,814,787,694,216,294,133,203,239,215,178,132,763,740,865,967,856,771,738,819,722,241,334,172,242,362,326,305,302,10.8
West Lawn,65,0.46,33355,1877.044523,644.6,19.3,1376,1314,1367,1450,1394,1128,951,896,758,267,284,153,212,242,163,153,153,1325,1221,1290,1339,1290,1056,934,952,798,253,329,181,235,308,241,250,308,14.8
Chicago Lawn,66,0.32,55628,1059.099001,1461.5,24.3,2515,2208,2125,2049,1800,1718,1667,1542,1247,413,463,250,343,383,249,184,100,2612,2348,2210,2023,2001,1837,1981,1704,1523,486,586,326,416,525,370,284,269,31.3
West Englewood,67,0.19,35505,1487.38987,2095.5,22.1,1810,1370,1060,852,819,924,1137,1122,841,265,364,203,305,449,334,228,105,1799,1334,1266,1122,1073,1081,1321,1257,970,402,576,311,493,686,593,380,277,38.5
Englewood,68,0.16,30654,1828.185338,2179.2,19.1,1494,1169,834,767,625,663,909,930,770,248,307,200,201,313,260,184,128,1575,1366,1186,1015,1023,1003,1112,1110,902,323,365,221,324,515,457,352,341,46.3
Greater Grand Crossing,69,0.16,32602,972.7704732,2168.6,18.5,1353,968,816,773,806,839,948,1075,877,329,390,187,255,310,248,233,237,1413,1299,1235,1139,1029,1084,1235,1399,1220,412,476,282,343,533,480,486,544,38.8
Ashburn,70,0.41,41081,750.9433329,822.8,13.4,1706,1414,1273,1236,1303,1361,1489,1447,1155,372,480,218,317,399,282,221,185,1664,1322,1267,1414,1447,1581,1687,1646,1320,440,513,278,360,455,408,435,399,12.4
Auburn Gresham,71,0.22,48743,2019.001194,1663.8,17.3,2006,1483,1233,1133,1137,1263,1558,1447,1283,412,615,352,480,770,620,386,243,2170,1763,1613,1515,1685,1637,1879,1996,1603,688,973,547,819,1224,999,632,513,29.5
Beverly,72,0.53,20034,828.5777955,474.2,5,746,456,488,488,547,683,756,836,722,318,356,164,232,232,206,124,94,661,465,478,541,667,769,847,938,919,359,406,223,204,326,227,193,206,4.5
Washington Heights,73,0.24,26493,1889.699297,1475.9,13.2,1081,754,586,543,669,762,867,839,687,257,301,193,315,501,439,263,184,1115,773,712,724,955,882,1037,1071,989,377,522,310,535,879,713,464,363,16.3
Mount Greenwood,74,0.51,19093,2281.111063,204.3,3.2,715,672,647,628,694,657,779,792,627,198,213,118,182,175,129,117,126,797,781,529,623,622,684,734,765,602,170,233,121,197,244,223,257,253,4.7
Morgan Park,75,0.37,22544,2259.621095,953.7,10.3,934,645,521,576,571,666,751,843,744,252,278,149,199,329,296,191,152,967,650,614,612,765,764,955,996,903,313,371,218,353,530,425,311,456,16.9
O'Hare,76,0.52,12756,2928.441339,282.2,17.4,216,365,717,813,582,490,471,421,392,129,161,89,113,162,130,89,96,189,399,699,717,461,384,362,440,437,171,180,94,178,182,204,169,166,18.4
Edgewater,77,0.31,56521,1325.313158,682.9,15.7,1310,2287,3384,3170,2771,2749,2514,2062,1711,586,773,375,489,679,505,366,299,1638,2621,3307,2699,2088,1803,1728,1669,1593,601,841,454,683,854,657,636,691,18.3
