,,,,,,Distance.Time,
"611|""611""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""6244 N Leroy Ave", Chicago,IL 60646,"USA""|""17480""|""3817""|""OK""",
"612|""612""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""6244 N Leroy Ave", Chicago,IL 60646,"USA""|""43651""|""6778""|""OK""",
"613|""613""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""38721""|""7035""|""OK""",
"614|""614""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""16739""|""3725""|""OK""",
"615|""615""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""16739""|""3725""|""OK""",
"616|""616""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""34896""|""6287""|""OK""",
"617|""617""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""26678""|""5573""|""OK""",
"618|""618""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""29625""|""5335""|""OK""",
"619|""619""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""31908""|""5967""|""OK""",
"620|""620""|""654 E 47th St", Chicago,IL 60653,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""26252""|""5758""|""OK""",
"621|""621""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""26243""|""6001""|""OK""",
"622|""622""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""32971""|""6297""|""OK""",
"623|""623""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""35505""|""6873""|""OK""",
"624|""624""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""38552""|""7267""|""OK""",
"625|""625""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""22131""|""5361""|""OK""",
"626|""626""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""40118""|""7304""|""OK""",
"627|""627""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""21926""|""5230""|""OK""",
"628|""628""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""25620""|""5724""|""OK""",
"629|""629""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""21893""|""4759""|""OK""",
"630|""630""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""18905""|""5509""|""OK""",
"631|""631""|""200 E 115th St", Chicago,IL 60628,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""42609""|""7398""|""OK""",
"632|""632""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""43074""|""7834""|""OK""",
"633|""633""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""9228""|""3212""|""OK""",
"634|""634""|""200 E 115th St", Chicago,IL 60628,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""42609""|""7398""|""OK""",
"635|""635""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""12081""|""3307""|""OK""",
"636|""636""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""12254""|""3857""|""OK""",
"637|""637""|""29 E Madison St", Chicago,IL 60602,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""21207""|""1852""|""OK""",
"638|""638""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""31908""|""5967""|""OK""",
"639|""639""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""19426""|""4427""|""OK""",
"640|""640""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""36426""|""6528""|""OK""",
"641|""641""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""30403""|""6243""|""OK""",
"642|""642""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""34901""|""6815""|""OK""",
"643|""643""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""36426""|""7138""|""OK""",
"644|""644""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""36414""|""6720""|""OK""",
"645|""645""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""41407""|""7562""|""OK""",
"646|""646""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""22131""|""5361""|""OK""",
"647|""647""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""40118""|""7304""|""OK""",
"648|""648""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""17964""|""3996""|""OK"""
"649|""649""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""17788""|""3863""|""OK""",
"650|""650""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""17107""|""4004""|""OK""",
"651|""651""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""15983""|""4273""|""OK""",
"652|""652""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""18032""|""3999""|""OK""",
"653|""653""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""18604""|""4091""|""OK""",
"654|""654""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""18480""|""4519""|""OK""",
"655|""655""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""15491""|""3901""|""OK""",
"656|""656""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""21926""|""5258""|""OK""",
"657|""657""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""13546""|""3908""|""OK""",
"658|""658""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""21184""|""4418""|""OK""",
"659|""659""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""12573""|""3259""|""OK""",
"660|""660""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""14009""|""4112""|""OK""",
"661|""661""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""14532""|""3784""|""OK""",
"662|""662""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""14511""|""4374""|""OK""",
"663|""663""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""3786 W Bryn Mawr Ave", Chicago,IL 60659,"USA""|""41636""|""7204""|""OK""",
"664|""664""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""35512""|""5576""|""OK""",
"665|""665""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""18094""|""2920""|""OK""",
"666|""666""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""18094""|""2920""|""OK""",
"667|""667""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""31686""|""4592""|""OK""",
"668|""668""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""27207""|""4815""|""OK""",
"669|""669""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""26415""|""3880""|""OK""",
"670|""670""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""28689""|""4458""|""OK""",
"671|""671""|""654 E 47th St", Chicago,IL 60653,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""26646""|""4831""|""OK""",
"672|""672""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""27687""|""4792""|""OK""",
"673|""673""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""33501""|""5539""|""OK""",
"674|""674""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""35974""|""5916""|""OK""",
"675|""675""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""35552""|""5923""|""OK""",
"676|""676""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""21149""|""4150""|""OK""",
"677|""677""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""37047""|""5590""|""OK""",
"678|""678""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""22605""|""3863""|""OK""",
"679|""679""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""26300""|""4329""|""OK""",
"680|""680""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""23212""|""4190""|""OK""",
"681|""681""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""16153""|""4168""|""OK""",
"682|""682""|""200 E 115th St", Chicago,IL 60628,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""41773""|""5381""|""OK""",
"683|""683""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""39605""|""6034""|""OK""",
"684|""684""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""6983""|""2118""|""OK""",
"685|""685""|""200 E 115th St", Chicago,IL 60628,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""41773""|""5381""|""OK""",
"686|""686""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""10078""|""3333""|""OK""",
"687|""687""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""9773""|""2100""|""OK""",
"688|""688""|""29 E Madison St", Chicago,IL 60602,"USA""|""3713 W Lawrence Ave", Chicago,IL 60625,"USA""|""14954""|""1704""|""OK""",
"689|""689""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""28689""|""4458""|""OK""",
"690|""690""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""17996""|""3088""|""OK""",
"691|""691""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""33216""|""4824""|""OK""",
"692|""692""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""30091""|""5476""|""OK""",
"693|""693""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""35369""|""5787""|""OK""",
"694|""694""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""36894""|""5871""|""OK""",
"695|""695""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""36882""|""5686""|""OK""",
"696|""696""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""38197""|""5867""|""OK""",
"697|""697""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""21149""|""4150""|""OK""",
"698|""698""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""37047""|""5590""|""OK""",
"699|""699""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""15545""|""3106""|""OK"""
"700|""700""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""15370""|""2973""|""OK""",
"701|""701""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""13898""|""2549""|""OK""",
"702|""702""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""13685""|""2584""|""OK""",
"703|""703""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""15623""|""3163""|""OK""",
"704|""704""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""21229""|""3440""|""OK""",
"705|""705""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""18331""|""3401""|""OK""",
"706|""706""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""12281""|""2446""|""OK""",
"707|""707""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""22605""|""3863""|""OK""",
"708|""708""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""17436""|""3442""|""OK""",
"709|""709""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""23809""|""3767""|""OK""",
"710|""710""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""15198""|""2608""|""OK""",
"711|""711""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""12438""|""3229""|""OK""",
"712|""712""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""11567""|""2185""|""OK""",
"713|""713""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""11743""|""2338""|""OK""",
"714|""714""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""3719 W Lawrence Ave", Chicago,IL 60625,"USA""|""38426""|""5540""|""OK""",
"715|""715""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""34220""|""5888""|""OK""",
"716|""716""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""15142""|""2625""|""OK""",
"717|""717""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""15142""|""2625""|""OK""",
"718|""718""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""33934""|""5840""|""OK""",
"719|""719""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""25081""|""4473""|""OK""",
"720|""720""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""25151""|""3988""|""OK""",
"721|""721""|""641 W 63rd St", Chicago,IL 60637,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""29534""|""4893""|""OK""",
"722|""722""|""654 E 47th St", Chicago,IL 60653,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""24655""|""4658""|""OK""",
"723|""723""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""24646""|""4900""|""OK""",
"724|""724""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""31374""|""5197""|""OK""",
"725|""725""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""33908""|""6032""|""OK""",
"726|""726""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""35086""|""6238""|""OK""",
"727|""727""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""19493""|""4143""|""OK""",
"728|""728""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""35644""|""5957""|""OK""",
"729|""729""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""20329""|""3521""|""OK""",
"730|""730""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""24023""|""3987""|""OK""",
"731|""731""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""20296""|""4451""|""OK""",
"732|""732""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""17993""|""5049""|""OK""",
"733|""733""|""200 E 115th St", Chicago,IL 60628,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""38955""|""5489""|""OK""",
"734|""734""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""38600""|""6487""|""OK""",
"735|""735""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""10717""|""2961""|""OK""",
"736|""736""|""200 E 115th St", Chicago,IL 60628,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""38955""|""5489""|""OK""",
"737|""737""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""7605""|""2342""|""OK""",
"738|""738""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""11204""|""3410""|""OK""",
"739|""739""|""29 E Madison St", Chicago,IL 60602,"USA""|""5429 W Irving Park Rd", Chicago,IL 60641,"USA""|""15508""|""1562""|""OK""",
"740|""740""|""641 W 63rd St", Chicago,IL 60637,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""29534""|""4893""|""OK""",
"741|""741""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""15672""|""2934""|""OK""",
"742|""742""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""31952""|""5326""|""OK""",
"743|""743""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""24204""|""5610""|""OK""",
"744|""744""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""33304""|""5895""|""OK""",
"745|""745""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""34829""|""5979""|""OK""",
"746|""746""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""34817""|""5794""|""OK""",
"747|""747""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""35468""|""6225""|""OK""",
"748|""748""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""19493""|""4143""|""OK""",
"749|""749""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""35644""|""5957""|""OK""",
"750|""750""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""17224""|""4128""|""OK"""
"751|""751""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""17048""|""3995""|""OK""",
"752|""752""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""16145""|""3557""|""OK""",
"753|""753""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""15021""|""3826""|""OK""",
"754|""754""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""17292""|""4136""|""OK""",
"755|""755""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""17007""|""2991""|""OK""",
"756|""756""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""17578""|""3571""|""OK""",
"757|""757""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""14529""|""3454""|""OK""",
"758|""758""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""20329""|""3521""|""OK""",
"759|""759""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""13459""|""3100""|""OK""",
"760|""760""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""19587""|""3318""|""OK""",
"761|""761""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""10976""|""2159""|""OK""",
"762|""762""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""14279""|""4138""|""OK""",
"763|""763""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""13713""|""3643""|""OK""",
"764|""764""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""11466""|""3432""|""OK""",
"765|""765""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""5416 W Irving Park Rd", Chicago,IL 60641,"USA""|""37162""|""5648""|""OK""",
"766|""766""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""30689""|""4772""|""OK""",
"767|""767""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""12721""|""1866""|""OK""",
"768|""768""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""12721""|""1866""|""OK""",
"769|""769""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""28409""|""4623""|""OK""",
"770|""770""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""22660""|""3684""|""OK""",
"771|""771""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""22709""|""3499""|""OK""",
"772|""772""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""27113""|""4104""|""OK""",
"773|""773""|""654 E 47th St", Chicago,IL 60653,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""22234""|""3869""|""OK""",
"774|""774""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""22225""|""4231""|""OK""",
"775|""775""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""28953""|""4408""|""OK""",
"776|""776""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""34485""|""5875""|""OK""",
"777|""777""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""30413""|""5436""|""OK""",
"778|""778""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""17072""|""3354""|""OK""",
"779|""779""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""33202""|""5189""|""OK""",
