,,,,,,Distance.Time,
"36|""36""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""23948""|""3826""|""OK"""
"37|""37""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""23773""|""3693""|""OK""",
"38|""38""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""24355""|""3539""|""OK""",
"39|""39""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""26761""|""4168""|""OK""",
"40|""40""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""23416""|""3819""|""OK""",
"41|""41""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""22810""|""3813""|""OK""",
"42|""42""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""21673""|""3632""|""OK""",
"43|""43""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""26269""|""3796""|""OK""",
"44|""44""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""23327""|""3743""|""OK""",
"45|""45""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""23333""|""4157""|""OK""",
"46|""46""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""25390""|""4140""|""OK""",
"47|""47""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""26438""|""4872""|""OK""",
"48|""48""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""27214""|""4697""|""OK""",
"49|""49""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""26845""|""4220""|""OK""",
"50|""50""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""27226""|""4517""|""OK""",
"51|""51""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""7672""|""2470""|""OK""",
"52|""52""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""17585""|""4685""|""OK""",
"53|""53""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""33370""|""5674""|""OK""",
"54|""54""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""33370""|""5643""|""OK""",
"55|""55""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""22342""|""4428""|""OK""",
"56|""56""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""24471""|""4888""|""OK""",
"57|""57""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""23211""|""4678""|""OK""",
"58|""58""|""641 W 63rd St", Chicago,IL 60637,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""22174""|""4985""|""OK""",
"59|""59""|""654 E 47th St", Chicago,IL 60653,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""26784""|""5519""|""OK""",
"60|""60""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""27825""|""5649""|""OK""",
"61|""61""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""24710""|""5917""|""OK""",
"62|""62""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""22620""|""5102""|""OK""",
"63|""63""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""20329""|""5060""|""OK""",
"64|""64""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""30740""|""5922""|""OK""",
"65|""65""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""16719""|""4154""|""OK""",
"66|""66""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""34540""|""5785""|""OK""",
"67|""67""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""38235""|""6311""|""OK""",
"68|""68""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""32535""|""6224""|""OK""",
"69|""69""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""34277""|""6411""|""OK""",
"70|""70""|""200 E 115th St", Chicago,IL 60628,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""10266""|""2328""|""OK""",
"71|""71""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""12236""|""3003""|""OK""",
"72|""72""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""44098""|""7054""|""OK""",
"73|""73""|""200 E 115th St", Chicago,IL 60628,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""10266""|""2328""|""OK""",
"74|""74""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""45164""|""8118""|""OK""",
"75|""75""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""41528""|""7280""|""OK""",
"76|""76""|""29 E Madison St", Chicago,IL 60602,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""31799""|""2103""|""OK""",
"77|""77""|""641 W 63rd St", Chicago,IL 60637,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""22174""|""5016""|""OK""",
"78|""78""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""32918""|""5584""|""OK""",
"79|""79""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""19811""|""4690""|""OK""",
