Neighborhood,Male 15 to 17,Male 18-24,Males 25-34,Males 35-49,Males 50+,Population,Male_15-17%,Male_18-24%,Male_25-34%,Male_35-49%,Male_50+%,Female 15-17,Female 18-24,Female 25-34,Female 35-49,Female 50+,F_15-17%,Female_18-24%,Female_25-34%,Female_35-49%,Female_50+%
Washington Heights,688,1147,1798,2298,3979,26493,0.025969124,0.043294455,0.067866984,0.086739894,0.150190616,689,1199,1436,2874,6223,0.02600687,0.045257238,0.054202997,0.108481486,0.234892236
Mount Greenwood,372,1015,1969,2130,2677,19093,0.01948358,0.053160844,0.1031268,0.11155921,0.140208453,367,1211,1152,2040,3065,0.019221704,0.063426387,0.060336249,0.106845441,0.160530037
Morgan Park,606,973,1668,1988,3433,22544,0.026880767,0.043160043,0.073988644,0.088183109,0.152279986,641,976,1226,2484,4876,0.028433286,0.043293116,0.054382541,0.110184528,0.216288148
O'Hare,130,451,2112,1543,1782,12756,0.010191283,0.035355911,0.165569144,0.120962684,0.139698965,111,477,1416,1207,2221,0.008701787,0.037394167,0.111006585,0.094622139,0.174114142
Edgewater,483,3114,9325,8034,7845,56521,0.008545496,0.055094567,0.164982927,0.142141859,0.138797969,447,3812,6006,5619,8679,0.007908565,0.067443959,0.10626139,0.099414377,0.153553546
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
